ཀ,as a postfix,གཉིས་ཀ,དཔྱིད་ཀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀུན,as a prefix,ཀུན་རྫོབ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀྱང,as a postfix,འོན་ཀྱང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀྱོག,as a prefix,ཀྱོག་པོ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀློང,as a prefix,ཀློང་ཆེན,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
དཀྱིལ,as a prefix,དཀྱིལ་འཁོར,དཀྱིལ་མོ་ཀྲུང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀུར,as a prefix,བཀུར་སྟི,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀུར,as a postfix,བསྙེན་བཀུར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀོད,as a prefix,བཀོད་མ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
རྐུན,as a prefix,རྐུན་མ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
རྐུན,as a postfix,ཆོམ་རྐུན,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐད,as a prefix,སྐད་ཅིག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐད,as a postfix,ཇི་སྐད,འདི་སྐད,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐབས,as a postfix,གོ་སྐབས,གནས་སྐབས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐར,as a prefix,སྐར་ཁུང,སྐར་མ,སྐར་རྩིས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐར,as a postfix,རྒྱུ་སྐར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐེ,as a prefix,སྐེ་རགས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱུ་རུ,as a prefix,སྐྱུ་རུ་ར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱེ,as a prefix,སྐྱེ་མཆེད,སྐྱེ་གནས,སྐྱེ་བོ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱེས,as a prefix,སྐྱེས་བུ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱེས,as a postfix,ཝ་སྐྱེས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྲ,as a postfix,དབུ་སྐྲ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁ,as a prefix,ཁ་ཅིག,ཁ་ཏོན,ཁ་དོག,ཁ་ན་མ་ཐོ,ཁ་ཟས,ཁ་རོག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁང,as a postfix,གཙུག་ལག་ཁང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁུ,as a prefix,ཁུ་ཚུར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁུང,as a prefix,ཁུང་བུ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁུང,as a postfix,སྐར་ཁུང,མཆན་ཁུང,འཆན་ཁུང,ཐབ་ཁུང,ཐལ་ཁུང,སྣ་ཁུང,མུན་ཁུང,ས་ཁུང,ཧོམ་ཁུང,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁོ,as a prefix,ཁོ་ན,ཁོ་བོ,ཁོ་ལག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁོང,as a prefix,ཁོང་སྟོང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱད,as a prefix,ཁྱད་པར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱིམ,as a prefix,ཁྱིམ་ཐབ,ཁྱིམ་བདག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱིམ,as a postfix,གསུས་ཁྱིམ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱུང,as a prefix,ཁྱུང་ཆེན,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱུང,as a postfix,བྱ་ཁྱུང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱུད,as a prefix,ཁྱུད་མོ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱུད,as a postfix,སྒོ་ཁྱུད,མུ་ཁྱུད,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱེད,as a prefix,ཁྱེད་ཅག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱེར,as a postfix,གྲོང་ཁྱེར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲག,as a prefix,ཁྲག་ཁྲིག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲི,as a prefix,ཁྲི་ཕྲག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲི,as a postfix,ལི་ཁྲི,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲིམས,as a postfix,ཚུལ་ཁྲིམས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲོད,as a postfix,དུར་ཁྲོད,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
མཁའ,as a postfix,ནམ་མཁའ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
འཁོར,as a prefix,འཁོར་ཡུག,འཁོར་ལོ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
འཁོར,as a postfix,དཀྱིལ་འཁོར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ག,as a postfix,གྲོ་ག,ཆོ་ག,བུ་ག,ཡལ་ག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གང,as a prefix,གང་དག,གང་ཞིག,གང་ཟག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གལ,as a prefix,གལ་ཆེ,གལ་ཏེ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
