stem,freq,word0,freq,word1,freq,word2,freq,word3,freq,word4,freq,word5,freq,word6,freq,word7,freq,word8,freq,word9,freq,word10,freq,word11,freq,word12,freq
,524,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚུལ་,63,,,,,,,,,,,,,,,,,,,,,,,,,,
སྦོམ་ཕྲ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གྷི་རེའེ་ཟི་(Greece)ཡི,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འགུལ་བསྐྱོད,4,,,,,,,,,,,,,,,,,,,,,,,,,,
༥༠,4,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྒྱགས་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
སྙིང་ཐག་པ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཉལ་ཤག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྔ་འགྲེལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྟ་སྨོས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྫུན་བཤད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཟེར་ཡ་ཙམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མཚེ་མི་སྨུ་རྒྱལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དངན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྫུས་ཞོག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཙི་པ་ཏྲ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འོས་སྦྱོར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཐུལ་ཤོར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྒྱབ་བརྒྱབ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཅོ་བརྒྱད་,8,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྱིམ་གསུམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་+པ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཛིན་མཁན,4,,,,,,,,,,,,,,,,,,,,,,,,,,
གཟུགས་ཅན་སྙིང་པོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྩྭ་སྔོན་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་བྱོན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འདི་ཉིད,25,,,,,,,,,,,,,,,,,,,,,,,,,,
མགོ་གནོན,8,,,,,,,,,,,,,,,,,,,,,,,,,,
སློབ་བརྒྱུད,4,,,,,,,,,,,,,,,,,,,,,,,,,,
“ལུང་པ་གང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཏེ་,186,,,,,,,,,,,,,,,,,,,,,,,,,,
གསལ་ཤོས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་འདྲ་ས,3,,,,,,,,,,,,,,,,,,,,,,,,,,
དམིགས་འཛུགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
༦༠༠,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གཞུགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མང,154,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕུལ་བྱུང་ཅན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་སྤོབས་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
༽སྐབས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཞུང,125,,,,,,,,,,,,,,,,,,,,,,,,,,
མཉམ་ལས,6,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚིག་མཚམས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཕྱོང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གནོད་རྒྱལ་མཚན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"སྒྱུ་རྩལ""",1,,,,,,,,,,,,,,,,,,,,,,,,,,
རང་ལག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཏ་,10,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲུང་ཁྲུང,3,,,,,,,,,,,,,,,,,,,,,,,,,,
འགན་ལེན་ཐང,3,,,,,,,,,,,,,,,,,,,,,,,,,,
རྩད་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀྲུའུ་རེན,4,,,,,,,,,,,,,,,,,,,,,,,,,,
རིག་བཅུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བོད་རིག་པ,41,,,,,,,,,,,,,,,,,,,,,,,,,,
རྡ་རམ་ས་ལ,43,,,,,,,,,,,,,,,,,,,,,,,,,,
-འཁེལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཏིང་,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཀྲོ་མ་ཀྲོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ལ(,1,,,,,,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་ཚོད་ཐུབ་ཚོད,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བཙལ་རྙེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཀྲས་ལྷུན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཉི་མ་ཕྱེད་ཡོལ་+བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་གསུངས་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུད་ཐག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཇོམས,6,,,,,,,,,,,,,,,,,,,,,,,,,,
གཞུང་ལུགས་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ལྡང་བ,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ལོ་རྒྱུན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཏོར་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-ད་གིན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
སྨྲོས་ཅི་དགོས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁང་གསར་སྤྲུལ་སྐུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
༢༠༠༩,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དགུག་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མནན་ན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐུབ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྫས་སྦྱོར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སེང་དར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གུང་གསེང,45,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་འདོད་པ་,6,,,,,,,,,,,,,,,,,,,,,,,,,,
མི་ཉན,7,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒོ་ཕྱུགས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ཉིན་གཅིག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་ལ་གང་འཚམས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
མཆོད་སྟོན་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
“མང་ཁ་ཉུང་ལེན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤང་སྟེང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒོམ་སྤངས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བྲིན་པ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཧ་མ་གོ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུ་མ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐྱོ་བྲག་དགའ་དབང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྐབས་དེར,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཡོང་ང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ནོར་འཁྲུལ་མེད,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་གོས་པ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
གྲངས་མེད་པ་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རྨ་ཁ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
་ཁ་ཟས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་བྱིན་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གྱེས་པ་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
-རྒྱུ་མཚན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྐང་གསུམ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
༽ཁ་ཟོ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡེ་མི་འདུག,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བསེ་ཚང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འཐུང་ཆུ,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁ་བཟས,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མཆོག་དམན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འཕོ་འགྱུར,7,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོས་སྒྲུབ་ཡ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཤའ་མ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དབུགས་དག་,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱ་གར་,7,,,,,,,,,,,,,,,,,,,,,,,,,,
ཅོག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
བཞུག,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བློ་འདྲི,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འབར,15,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་འདྲ་བ,38,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡི་ཤུ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གསོ་ཚགས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བཞེངས་ཚུལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བདག་ཅག,7,,,,,,,,,,,,,,,,,,,,,,,,,,
འཕེལ་རྒྱས,79,,,,,,,,,,,,,,,,,,,,,,,,,,
ཐེབས་པ,8,,,,,,,,,,,,,,,,,,,,,,,,,,
འགྱིང་བ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཇོ་བོ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲན,154,,,,,,,,,,,,,,,,,,,,,,,,,,
བདག་བལྟ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཡོལ་ཐབས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་རག་ན,3,,,,,,,,,,,,,,,,,,,,,,,,,,
སྙིང་རྗེ་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དབབ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
པུ༽,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བརྩོད་འཐབ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དཔལ་ལྡན,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ཝུ་ཆང་འཐུང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ས་ཐམས་ཅད་?,4,,,,,,,,,,,,,,,,,,,,,,,,,,
སྤོང་,16,,,,,,,,,,,,,,,,,,,,,,,,,,
མ་འདེམ་ན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གང་ལེགས,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ལ་དུག་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
རྒྱུ་མེད་མཁན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
འགྲོག་ན,3,,,,,,,,,,,,,,,,,,,,,,,,,,
བསྡུས་བ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
